"""","  平成24年度(2012年度)平均_ＤＯ溶存酸素量(mg/L)","  平成24年度(2012年度)平均_ＢＯＤ生物化学的酸素要求量(mg/L)","  平成24年度(2012年度)平均_ＣＯＤ化学的 酸素要求量(mg/L)","  平成24年度(2012年度)平均_ＳＳ浮 遊物 質(mg/L)","  平成24年度(2012年度)平均_大腸菌群  数(MPN/百mL)","  平成25年度(2013年度)平均_ＤＯ溶存酸素量(mg/L)","  平成25年度(2013年度)平均_ＢＯＤ生物化学的酸素要求量(mg/L)","  平成25年度(2013年度)平均_ＣＯＤ化学的 酸素要求量(mg/L)","  平成25年度(2013年度)平均_ＳＳ浮 遊物 質(mg/L)","  平成25年度(2013年度)平均_大腸菌群  数(MPN/百mL)"
"紀の川_恋野橋","10.0","0.7","1.8","4.0","4600.0","10.0","0.7","2.1","6.0","7100.0"
"紀の川_三谷橋","10.0","0.7","1.9","3.0","4100.0","10.0","0.8","2.3","5.0","10000.0"
"紀の川_船戸","10.0","1.0","2.5","4.0","22000.0","9.9","0.9","2.5","5.0","22000.0"
"紀の川_紀の川大橋","9.3","2.2","3.2","5.0","2400.0","8.5","1.0","2.3","5.0","2200.0"
"","","","","","","","","","",""
"橋本川_橋本","11.0","1.5","2.3","1.0","11000.0","10.0","1.6","2.7","1.0","8800.0"
"桂谷川_桂橋","10.0","1.2","1.5","4.0","1600.0","10.0","1.2","1.6","5.0","120.0"
"貴志川_小川橋","10.0","1.3","1.5","1.0","1400.0","10.0","1.1","1.5","1.0","2800.0"
"貴志川_諸井橋","10.0","1.2","1.9","2.0","5300.0","9.6","1.4","2.0","1.0","21000.0"
"","","","","","","","","","",""
"日方川_新港橋","7.0","2.4","4.3","14.0","94000.0","6.5","2.7","3.3","6.0","79000.0"
"山田川_海南大橋","6.7","2.5","3.5","7.0","14000.0","6.6","2.8","2.9","4.0","5700.0"
"有田川_金屋橋","10.0","1.2","1.2","2.0","380.0","10.0","1.3","1.1","1.0","1400.0"
"有田川_保田井堰","9.8","1.5","1.7","2.0","3200.0","10.0","1.5","1.2","3.0","6700.0"
"","","","","","","","","","",""
"日高川_船津堰堤","9.7","0.5","0.9","8.0","610.0","9.6","0.5","1.0","1.0","430.0"
"日高川_若野橋","9.6","0.5","1.0","5.0","530.0","9.4","0.9","1.1","3.0","560.0"
"西川_西川大橋","7.1","0.9","2.6","7.0","40000.0","7.9","0.9","2.3","5.0","100000.0"
"南部川_南部大橋","8.2","1.5","1.9","5.0","97000.0","8.5","1.4","1.8","1.0","11000.0"
"左会津川 _高雄大橋","9.7","1.4","2.4","8.0","78000.0","9.8","5.5","6.1","4.0","72000.0"
"左会津川 _秋津橋","9.6","0.8","1.8","7.0","57000.0","9.9","1.0","1.6","2.0","5700.0"
"","","","","","","","","","",""
"富田川_生馬橋","9.8","0.7","1.1","5.0","1100.0","9.7","0.8","1.4","3.0","46000.0"
"富田川_富田橋","9.6","0.7","1.3","3.0","2800.0","9.8","0.8","1.4","2.0","4900.0"
"日置川_安宅橋","9.8","0.6","0.8","1.0","500.0","9.6","0.5","0.8","1.0","470.0"
"日置川_日置川大橋","9.4","0.5","0.7","1.0","560.0","9.2","0.58","0.7","1.0","220.0"
"","","","","","","","","","",""
"古座川_高瀬橋","9.9","0.9","0.8","3.0","380.0","10.0","0.7","0.9","1.0","110.0"
"古座川_古座橋","9.8","0.9","0.7","2.0","240.0","10.0","1.0","1.3","2.0","66.0"
"太田川_下里大橋","9.8","1.0","0.7","2.0","1900.0","9.3","0.9","1.2","4.0","85.0"
"","","","","","","","","","",""
"那智川_川関橋","9.8","1.1","1.2","21.0","890.0","9.8","0.6","2.3","94.0","340.0"
"二河川_二河橋","9.7","1.0","0.8","9.0","1400.0","9.4","0.9","1.7","31.0","420.0"
"熊野川_宮井橋","9.8","1.1","0.9","14.0","240.0","10.0","0.9","1.4","12.0","91.0"
"熊野川_熊野大橋","9.6","0.5","1.1","6.0","4700.0","9.7","0.3","1.0","10.0","490.0"
